Use categories,sub-use,applications,substance name,cas,elemental composition,primary source,secondary source
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,alpelisib,1217486-61-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,apalutamide,956104-40-8,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,aprepitant,170729-80-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Cardiovascular system,bendroflumethiazide,73-48-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,benfluorex,23602-78-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Blood and blood forming organs,cangrelor,163706-06-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,bicalutamide,90357-06-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Cardiovascular system,celecoxib,169590-42-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,celecoxib,169590-42-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Musculo-skeletal system,celecoxib,169590-42-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Systemic Hormonal Preparations (excluding sex hormones and insulins),cinacalcet,226256-56-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,desflurane,57041-67-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,dexfenfluramine,3239-44-9,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,doravirine,1338225-97-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Genito Urinary System and Sex hormones,dutasteride,164656-23-9,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,efavirenz,154598-52-4,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Respiratory system,elexacaftor,2216712-66-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,enzalutamide,915087-33-1,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,fenfluramine,458-24-2,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Cardiovascular system,flecainide,54143-55-4,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,fluoxetine,54910-89-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Veterinary application,Nervous system,fluoxetine,54910-89-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Musculo-skeletal system,flunixin,38677-85-9,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,fluphenazine,69-23-8,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,fluvoxamine,54739-18-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,fosaprepitant,172673-20-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,fosnetupitant,1703748-89-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,fulvestrant,129453-61-8,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,gemcitabine,95058-81-4,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,glecaprevir,1365970-03-1,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,isoflurane,26675-46-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,ivosidenib,1448347-49-6,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,lansoprazole,103577-45-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,ledipasvir,1256388-51-8,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,leflunomide,75706-12-6,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,letermovir,917389-32-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Cardiovascular system,lomitapide,182431-12-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,maraviroc,376348-65-1,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,"Antiparasitic products, insecticides and repellents",mefloquine,53230-10-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,netupitant,290297-26-6,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,nilotinib,641571-10-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,nilutamide,63612-50-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,nitisinone,104206-65-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,penfluridol,26864-56-2,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Various,"Estra-1,3,5(10)-triene-3,17-diol, 7-[9-[(4,4,5,5,5-pentafluoropentyl)sulfinyl] nonyl]-, (7α,17β)-",129453-61-8,C32H47F5O3S,Glüge et al. (2020),WHO (2023)
Active pharmaceutical ingredients,Human health application,Various,"1H-Thieno[3,4-d]imidazole, 2-[[[4-(2,2,3,3,4,4,4-heptafluorobutoxy)-2-pyridinyl]methyl]sulfinyl]-",121617-11-6,C3F7CH2OC5H3NCH2S(=O)C5H3N2S,Glüge et al. (2020),WHO (2023)
Active pharmaceutical ingredients,Human health application,Various,perflutren,76-19-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,ponatinib,943319-70-8,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,regorafenib,755037-03-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,rolapitant,552292-08-7,,ECHA (2023a),
Active pharmaceutical ingredients,Veterinary application,Nervous system,sevoflurane,28523-86-6,,ECHA (2023a),
Active pharmaceutical ingredients,Human health application,Genito Urinary System and Sex hormones,silodosin,160970-54-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,siponimod,1230487-00-9,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,sitagliptin,486460-32-6,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,sorafenib,284461-73-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Sensory organs,tafluprost,209860-87-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,telotristat,1033805-22-9,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,teriflunomide,163451-81-8,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Respiratory system,tezacaftor,1152311-62-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,tipranavir,174484-41-4,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Sensory organs,travoprost,157283-68-6,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,trifluoperazine,117-89-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,upadacitinib,1310726-60-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,vinflunine,162652-95-1,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,voxilaprevir,1535212-07-7,,ECHA (2023a),WHO (2023)
Biocides,Biocidal product,"Insecticides, acaricides and products to control other arthropods","1-(3,5-dichloro-4-(1,1,2,2-tetrafluoroethoxy)phenyl)-3-(2,6-difluorobenzoyl) urea",86479-06-3,,ECHA (2023a),WHO (2023)
Biocides,Biocidal product,Wood preservatives,4-bromo-2-(4-chlorophenyl)-1-ethoxy methyl-5-trifluoromethylpyrrole-3-carbonitrile,122453-73-0,,ECHA (2023a),WHO (2023)
Biocides,Biocidal product,"Insecticides, acaricides and products to control other arthropods",4-bromo-2-(4-chlorophenyl)-1-ethoxy methyl-5-trifluoromethylpyrrole-3-carbonitrile,122453-73-0,,ECHA (2023a),WHO (2023)
Biocides,Biocidal product,Wood preservatives,Bifenthrin,82657-04-3,,ECHA (2023a),WHO (2023)
Biocides,Biocidal product,"Insecticides, acaricides and products to control other arthropods",Fipronil,120068-37-3,,ECHA (2023a),WHO (2023)
Biocides,Biocidal product,Rodenticides,Flocoumafen,90035-08-8,,ECHA (2023a),ECHA (2023d)
Biocides,Biocidal product,"Insecticides, acaricides and products to control other arthropods","[(R)-cyano-(3-phenoxyphenyl)methyl] (1S,3S)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",91465-08-6,,ECHA (2023a),ECHA (2023d)
Biocides,Biocidal product,Antifouling products,Tralopyril,122454-29-9,,ECHA (2023a),ECHA (2023d)
Building and construction products,Wires and cables,Electrical cable and wire insulation,Poly(vinylidene fluoride),24937-79-9,(CH2CF2)x,Glüge et al. (2020),ECHA (2023d)
Building and construction products,Wires and cables,Electrical cable and wire insulation,Vinylidenfluorid-Hexafluorpropylen copolymer,9011-17-0,(CH2CF2)x-(CF2CFCF3)y,Glüge et al. (2020),ECHA (2023d)
Building and construction products,Wires and cables,Electrical cable and wire insulation,Fluorinated ethylene propylene,25067-11-2,(CF2CF2)x-(CF2CFCF3)y,Glüge et al. (2020),ECHA (2023d)
Building and construction products,Wires and cables,Electrical cable and wire insulation,Ethylene tetrafluoroethylene copolymer,25038-71-5,(CH2CH2)x-(CF2CF2)y,Glüge et al. (2020),ECHA (2023d)
Building and construction products,Wires and cables,Electrical cable and wire insulation,Chlorotrifluoroethylene-ethylene copolymer,25101-45-5,(CF2CFCl)x-(CH2CH2)y,Glüge et al. (2020),ECHA (2023d)
Building and construction products,Wires and cables,Electrical cable and wire insulation,Polychlorotrifluoroethylene,9002-83-9,(CF2CFCl)x,Glüge et al. (2020),
Building and construction products,Floors,Floor and wall covering,Potassium N-ethyl perfluorobutane sulfonamidoacetate,67584-51-4,C4F9SO2N(C2H5)CH2COOH,Glüge et al. (2020),
Building and construction products,Floors,Floor and wall covering,Potassium N-ethyl perfluoropentane sulfonamidoacetate,67584-52-5,C5F11SO2N(C2H5)CH2COOH,Glüge et al. (2020),
Building and construction products,Floors,Floor and wall covering,Potassium N-ethyl perfluorohexane sulfonamidoacetate,67584-53-6,C6F13SO2N(C2H5)CH2COOH,Glüge et al. (2020),
Building and construction products,Floors,Floor and wall covering,Potassium N-ethyl perfluoroheptane sulfonamidoacetate,67584-62-7,C7F15SO2N(C2H5)CH2COOH,Glüge et al. (2020),
Building and construction products,Floors,Floor and wall covering,Potassium N-ethyl perfluorooctane sulfonamidoacetate,2991-51-7,C8F17SO2N(C2H5)CH2COOH,Glüge et al. (2020),
Building and construction products,Floors,Floor and wall covering,"2-Propenoic acid, 2-[butyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]amino]ethyl ester",383-07-3,C8F17SO2N(C4H9)CH2CH2OC(=O)CHCH2,Glüge et al. (2020),
Building and construction products,Floors,Floor and wall covering,"Polysiloxanes, di-Me, Me 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl",115340-95-9,-,Glüge et al. (2020),
Building and construction products,Floors,Resilient linoleum,Perfluorooctane sulfonic acid (PFOS),1763-23-1,C8F17SO3H,Glüge et al. (2020),
Building and construction products,Floors,Resilient linoleum,Perfluorodecane sulfonic acid (PFDS),335-77-3,C10F21SO3H,Glüge et al. (2020),
Building and construction products,Floors,Laminated plastic floor covering,Perfluoropentanoic acid (PFPeA),2706-90-3,C4F9COOH,Glüge et al. (2020),
Building and construction products,Floors,Laminated plastic floor covering,Perfluorohexanoic acid (PFHxA),307-24-4,C5F11COOH,Glüge et al. (2020),
Building and construction products,Floors,Laminated plastic floor covering,Perfluoroheptanoic acid (PFHpA),375-85-9,C6F13COOH,Glüge et al. (2020),
Building and construction products,Floors,Laminated plastic floor covering,Perfluorooctane sulfonic acid (PFOS),1763-23-1,C8F17SO3H,Glüge et al. (2020),
Building and construction products,Floors,Laminated plastic floor covering,Perfluorodecane sulfonic acid (PFDS),335-77-3,C10F21SO3H,Glüge et al. (2020),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,"1,1,1,2-Tetrafluoroethane",811-97-2,C2H2F4,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane spray foam,"1,1-Difluoroethane",75-37-6,C2H4F2,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,"1,1,1,2,3,3,3-Heptafluoropropane",431-89-0,C3HF7,ECHA (2023a),
Building and construction products,Foam blowing agents,Extruded polystyrene foam (XPS),"1,1,1,3,3-Pentafluoropropane",460-73-1,C3H3F5,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,"1,1,1,3,3-Pentafluorobutane",406-58-6,C4H3F8,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane spray foam,"1,1-Dichloro-1-fluoroethane",1717-00-6,Cl2C2HF3,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,"1,3,3,3-Tetrafluoropropene",29118-24-9,C3H2F4,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane spray foam,"Cis-1,1,1,4,4,4-Hexafluoro-2-butene",692-49-9,C4H2F6,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,"Trans-1-chloro-3,3,3-trifluoropropene",102687-65-0,ClC3H2F3,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane spray foam,Polytetrafluoroethylene,9002-84-0,(CF2CF2)x,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,Perfluorobutanoic acid (PFBA),375-22-4,C3F7COOH,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane spray foam,Perfluoropentanoic acid (PFPeA),2706-90-3,C4F9COOH,ECHA (2023a),
Building and construction products,Foam blowing agents,Extruded polystyrene foam (XPS),Perfluorohexanoic acid (PFHxA),307-24-4,C5F11COOH,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,Perfluoroheptanoic acid (PFHpA),375-85-9,C6F13COOH,ECHA (2023a),
Building and construction products,Foam blowing agents,Rigid polyurethane boardstock and panels,Perfluorooctanoic acid (PFOA),335-67-1,C7F15COOH,ECHA (2023a),
Building and construction products,Architectural membranes,Architectural membranes,Perfluorononanoic acid (PFNA),375-95-1,C8F17COOH,Glüge et al. (2020),
Building and construction products,Architectural membranes,Architectural membranes,Perfluorodecanoic acid (PFDA),335-76-2,C9F19COOH,Glüge et al. (2020),
Building and construction products,Architectural membranes,Architectural membranes,Perfluoroundecanoic acid (PFUnDA),2058-94-8,C10F21COOH,Glüge et al. (2020),
Building and construction products,Architectural membranes,Architectural membranes,Perfluorododecanoic acid (PFDoDA),307-55-1,C11F23COOH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluorotridecanoic acid (PFTrDA),72629-94-8,C12F25COOH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluorotetradecanoic acid (PFTeDA),376-06-7,C13F27COOH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,6:2 Fluorotelomer alcohol,647-42-7,C6F13CH2CH2OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,8:2 Fluorotelomer alcohol,678-39-7,C8F17CH2CH2OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,10:2 Fluorotelomer alcohol,865-86-1,C10F21CH2CH2OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,6:2 Fluorotelomer sulfonic acid (6:2 FTS),27619-97-2,C6F13CH2CH2SO3H,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,"Poly(oxy-1,2-ethanediyl), α-[2-hydroxy-3-[(nona decafluorononyl)sulfonyl]propyl]-ω-hydroxy-",103728-33-2,CnF2n+1SO2CH2CH(OH)CH2(OCH2CH2)mOH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,"Poly(oxy-1,2-ethanediyl), α-(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11, 11,12,12,12-nonadecafluoro-2-hydroxydodecyl)-ω-methoxy-",85643-63-6,C9F19CH2CH(OH)CH2(OCH2CH2)xOCH3,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Ammonium perfluorooctanoate ,3825-26-1,C7F15COOH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluorohexyl phosphonic acid,40143-76-8,C6F13P(=O)(OH)2,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluorooctyl phosphonic acid,40143-78-0,C8F17P(=O)(OH)2,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluorodecyl phosphonic acid,52299-26-0,C10F21P(=O)(OH)2,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Bis(perfluorohexyl) phosphinic acid,40143-77-9,(C6F13)2P(=O)OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluoro(hexyl/octyl) phosphinic acid,610800-34-5,C6F13P(C8F17)(=O)OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluoro(hexyl/decyl) phosphinic acid,1240600-40-1,C6F13P(C10F21)(=O)OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluoro(hexyl/dodecyl) phosphinic acid,1240600-41-2,C6F13P(C12F25)(=O)OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Bis(perfluorooctyl) phosphinic acid,40143-79-1,(C8F17)2P(=O)OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,Perfluoro(octyl/decyl) phosphinic acid,500776-81-8,C8F17P(C10F21)(=O)OH,Glüge et al. (2020),
Building and construction products,Glass protection,Film/foil for greenhouses,"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with α-fluoro-ω-(2-hydroxyethyl)poly (difluoromethylene) (1:1)",65545-80-4,CnF2n+1CH2CH2O(CH2CH2O)mH   m = undefinded,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Phosphoric acid, mixed esters with poly ethylene glycol and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-1-octanol, ammonium salts",1224429-82-6,-,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,Perfluoro(propyl vinyl ether)-tetrafluoro ethylene copolymer/ Perfluoralkoxy polymer,26655-00-5,(CF2CF2)x-(CF2CFOC3F7)y,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,Hexafluoropropylene-tetrafluoroethylene-vinylidene fluoride copolymer,25190-89-0,(CF2CF2)x-(CF2CFCF3)y-(CF2CH2),Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Propane, 1,1,1,2,2,3,3-heptafluoro-3-[(1,2,2-trifluoroethenyl)oxy]-, polymer with 1-chloro-1,2,2-trifluoroethene and ethene",35397-13-8,(C5F10O.C2H4.C2ClF3)x,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,Ammonium perfluorodecane sulfonate,67906-42-7,C10F21SO3H,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,N-Methyl perfluorobutane sulfonamide,68298-12-4,C4F9SO2NHCH3,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,N-Methyl perfluorobutane sulfonamidoethanol,34454-97-2,C4F9SO2N(CH3)CH2CH2OH,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,N-Methyl perfluorooctane sulfonamidoethanol,24448-09-7,C8F17SO2N(CH3)CH2CH2OH,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,N-Methyl perfluorobutane sulfonamidoethyl acrylate,67584-55-8,C4F9SO2N(CH3)CH2CH2OC(O)CH=CH2,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,Potassium N-ethyl perfluorooctane sulfonamidoacetate,2991-51-7,C8F17SO2N(C2H5)CH2COOH,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"2-Propenoic acid, 2-[butyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]amino]ethyl ester",383-07-3,C8F17SO2N(C4H9)CH2CH2OC(=O)CHCH2,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"1-Propanesulfonic acid, 3-[hexyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]-2-hydroxy-, ammonium salt (1:1)",606967-06-0,C4F9SO2N(C6H13)CH2CH(OH)CH2SO3H,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Butanedioic acid, 2-sulfo-, 1,4-bis(3,3,4,4,5,5,6,6,7,7,8, 8,8-tridecafluorooctyl) ester, sodium salt (1:1)",54950-05-9,C6F13CH2CH2OC(O)CH2CH(SO3H)C(O)OCH2CH2C6F13,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, ammonium salt (1:1)",65530-71-4,CnF2n+1CH2CH2OPO3H2,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, ammonium salt (1:2)",65530-72-5,CnF2n+1CH2CH2OPO3H2,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Ethanol, 2,2′-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (1:1)",65530-74-7,CnF2n+1CH2CH2OPO3H2,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Ethanol, 2,2′-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (2:1)",65530-63-4,CnF2n+1CH2CH2OPO3H2,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Poly(difluoromethylene), α,α′-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-, ammonium salt (1:1)",65530-70-3,OP(OH)(OCH2CH2CnF2n+1)2   ,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Ethanol, 2,2′-iminobis-, compd. with α,α′-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoropoly(difluoromethylene)] (1:1)",65530-64-5,(O)P(OH)(OCH2CH2CnF2n+1)2 ,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Poly(oxy-1,2-ethanediyl), α-(3,3,4,4,5,5,6,6, 7,7,8,8,8-tridecafluorooctyl)-ω-hydroxy-",52550-44-4,C6F13CH2CH2O(CH2CH2O)mH   m = 10 to 20,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,Lithium 7:2 fluorotelomer thioether propionate,4956-89-1,C7F15CH2CH2SCH2CH2COOH,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Terpolymer composed of CH2=CF2, C2F4, and C3F6",-,C5F11SO3H,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"2-Propenoic acid, 2-[butyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadeca fluorooctyl)sulfonyl]amino]ethyl ester, telomer with 2-[butyl[(1,1,2,2,3,3, 4,4,5,5,6,6,7,7,7-pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-prope noate, 2-methyloxirane polymer with oxirane di-2-propenoate, 2-methyl oxirane polymer with oxirane mono-2-propenoate and 1-octanethiol",68298-62-4,(C17H16F17NO4S.C16H16F15NO4S.(C3H6O.C2H4O)x.(C3H6O.C2H4O)x.2C3H4O2.C3H4O2)x.C8H18S,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene)",65605-58-5,(C16H30O2.(CF2)nC6H9FO2)x,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"1-Butanol, 4-(ethenyloxy)-, polymer with 1-chloro-1,2,2-trifluoroethene, (ethenyloxy)cyclohexane and ethoxyethene",88795-12-4,(C8H14O.C6H12O2.C4H8O.C2ClF3)x,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Siloxanes and Silicones, di-Me, Me 3-(1,1,2,2-tetra fluoro ethoxy)propyl, Me 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl",104780-70-3,-,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Polysiloxanes, di-Me, Me 3,3,4,4,5,5,6,6,7,7,8,8,8-trideca fluorooctyl",115340-95-9,-,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Siloxanes and Silicones, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10, 10,10-heptadecafluorodecyl)oxy Me, hydroxy Me, Me octyl, ethers with polyethylene glycol mono-Me ether",143372-54-7,-,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Alcohols, C8-14, perfluoro, reaction products with di-Me, Me hydrogen siloxanes and polyethylene glycol mono-Me ether",162567-79-5,-,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with α-fluoro-ω-(2-hydroxyethyl)poly(difluoromethylene) (1:1)",65545-80-4,CnF2n+1CH2CH2O(CH2CH2O)mH   m = undefinded,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,Perfluoro(methyl vinyl ether)-tetrafluoroethene copolymer,26425-79-6,(CF2CF2)x-(CF3OCFCF2)y,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,Perfluorohexane sulfonic acid (PFHxS),355-46-4,C6F13SO3H,Glüge et al. (2020),
Building and construction products,Coating and paint,Coating of solar panels,"1-Propanesulfonamide, 1,1,2,2,3,3,3-heptafluoro-N-[2-(2-hydroxyethoxy)ethyl]-N-methyl-",89148-26-5,C3F7SO2N(CH3)CH2CH2OCH2CH2OH,Glüge et al. (2020),
